id,name,link_image,original_season
F0107C13,Trixie Mattel,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6d/TrixieMattelS7CastMug.png,F0107
F0107C14,Violet Chachki,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c7/VioletChachkiS7CastMug.png,F0107
F0108C01,Acid Betty,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/0b/AcidBettyS8CastMug.jpg,F0108
F0108C02,Bob The Drag Queen,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1a/BobTheDragQueenS8CastMug.jpg,F0108
F0108C03,Chi Chi DeVayne,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2a/ChiChiDeVayneS8CastMug.jpg,F0108
F0108C04,Cynthia Lee Fontaine,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/28/CynthiaLeeFontaineS8CastMug.jpg,F0108
F0108C05,Dax ExclamationPoint,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/8b/DaxExclamationPointS8CastMug.jpg,F0108
F0108C06,Derrick Barry,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/aa/DerrickBarryS8CastMug.jpg,F0108
F0108C07,Kim Chi,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5b/KimChiS8CastMug.jpg,F0108
F0108C08,Laila McQueen,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a0/LailaMcQueenS8CastMug.jpg,F0108
F0108C09,Naomi Smalls,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/13/NaomiSmallsS8CastMug.jpg,F0108
F0108C10,Naysha Lopez,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/ac/NayshaLopezS8CastMug.jpg,F0108
F0108C11,Robbie Turner,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f0/RobbieTurnerS8CastMug.jpg,F0108
F0108C12,Thorgy Thor,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/27/ThorgyThorS8CastMug.jpg,F0108
F0109C01,Aja,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/ed/AjaS9CastMug.jpg,F0109
F0109C02,Alexis Michelle,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/4c/AlexisMichelleS9CastMug.jpg,F0109
F0109C03,Charlie Hides,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1f/CharlieHidesS9CastMug.jpg,F0109
F0108C04,Cynthia Lee Fontaine,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/35/CynthiaLeeFontaineS9CastMug.jpg,F0108
F0109C05,Eureka!,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6b/EurekaS9CastMug.jpg,F0109
F0109C06,Farrah Moan,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1a/FarrahMoanS9CastMug.jpg,F0109
F0109C07,Jaymes Mansfield,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/53/JaymesMansfieldS9CastMug.jpg,F0109
F0109C08,Kimora Blac,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/39/KimoraBlacS9CastMug.jpg,F0109
F0109C09,Nina Bo'nina Brown,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/cd/NinaBo%27ninaBrownS9CastMug.jpg,F0109
F0109C10,Peppermint,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/25/PeppermintS9CastMug.jpg,F0109
F0109C11,Sasha Velour,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3a/SashaVelourS9CastMug.jpg,F0109
F0109C12,Shea Couleé,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2a/SheaCoule%C3%A9S9CastMug.jpg,F0109
F0109C13,Trinity Taylor,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/9d/TrinityTaylorS9CastMug.jpg,F0109
F0109C14,Valentina,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/83/ValentinaS9CastMug.jpg,F0109
F0110C01,Aquaria,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a9/AquariaS10CastMug.jpg,F0110
